(venv) athul@athul-Lenovo-YOGA-720-13IKB:~/Documents/Codes/AMAT/examples/acta-astronautica/uranus-orbiter-probe$ python3 08-performance-analysis-prd.py
RUN #: 1, SAMPLE #: 110, EFPA: -11.49, SIGMA: -1.41, LD: 0.24, APO : 562018.63
RUN #: 26, SAMPLE #: 95, EFPA: -11.70, SIGMA: 1.32, LD: 0.23, APO : 553568.91
RUN #: 27, SAMPLE #: 111, EFPA: -11.73, SIGMA: -0.09, LD: 0.24, APO : 552844.44
RUN #: 28, SAMPLE #: 20, EFPA: -11.72, SIGMA: -0.40, LD: 0.24, APO : 556189.24
RUN #: 29, SAMPLE #: 164, EFPA: -11.70, SIGMA: 0.17, LD: 0.23, APO : 556802.07
RUN #: 30, SAMPLE #: 160, EFPA: -11.56, SIGMA: -0.21, LD: 0.26, APO : 492205.19
RUN #: 31, SAMPLE #: 20, EFPA: -11.66, SIGMA: -1.28, LD: 0.25, APO : 534611.19
RUN #: 32, SAMPLE #: 120, EFPA: -11.78, SIGMA: 0.59, LD: 0.25, APO : 495839.58
RUN #: 33, SAMPLE #: 178, EFPA: -11.62, SIGMA: 0.07, LD: 0.25, APO : 500825.19
RUN #: 34, SAMPLE #: 41, EFPA: -11.69, SIGMA: -1.59, LD: 0.23, APO : 623254.17
RUN #: 35, SAMPLE #: 38, EFPA: -11.55, SIGMA: 0.72, LD: 0.24, APO : 546955.72
RUN #: 36, SAMPLE #: 197, EFPA: -11.92, SIGMA: 0.94, LD: 0.24, APO : 562399.23
RUN #: 37, SAMPLE #: 24, EFPA: -11.81, SIGMA: -0.57, LD: 0.25, APO : 539088.72
RUN #: 38, SAMPLE #: 24, EFPA: -11.65, SIGMA: -0.83, LD: 0.24, APO : 494409.96
RUN #: 39, SAMPLE #: 106, EFPA: -11.62, SIGMA: 0.53, LD: 0.24, APO : 499659.45
RUN #: 40, SAMPLE #: 170, EFPA: -11.59, SIGMA: -0.02, LD: 0.23, APO : 536297.92
RUN #: 41, SAMPLE #: 102, EFPA: -11.78, SIGMA: -0.08, LD: 0.24, APO : 525015.19
RUN #: 42, SAMPLE #: 199, EFPA: -11.56, SIGMA: -0.26, LD: 0.21, APO : 482116.81
RUN #: 43, SAMPLE #: 28, EFPA: -11.76, SIGMA: 1.33, LD: 0.23, APO : 469043.65
RUN #: 44, SAMPLE #: 114, EFPA: -11.59, SIGMA: 0.23, LD: 0.24, APO : 538887.17
RUN #: 45, SAMPLE #: 45, EFPA: -11.69, SIGMA: -1.42, LD: 0.25, APO : 504724.00
RUN #: 46, SAMPLE #: 8, EFPA: -11.63, SIGMA: -0.60, LD: 0.24, APO : 488584.13
RUN #: 47, SAMPLE #: 190, EFPA: -11.62, SIGMA: 0.22, LD: 0.23, APO : 505265.28
RUN #: 48, SAMPLE #: 46, EFPA: -11.63, SIGMA: -2.26, LD: 0.25, APO : 564617.21
RUN #: 49, SAMPLE #: 141, EFPA: -11.60, SIGMA: -0.42, LD: 0.24, APO : 496320.79
RUN #: 50, SAMPLE #: 199, EFPA: -11.77, SIGMA: 1.86, LD: 0.22, APO : 525193.86
RUN #: 51, SAMPLE #: 145, EFPA: -11.80, SIGMA: -0.94, LD: 0.24, APO : 528104.82
RUN #: 52, SAMPLE #: 111, EFPA: -11.65, SIGMA: -1.70, LD: 0.23, APO : 481619.50
RUN #: 53, SAMPLE #: 78, EFPA: -11.53, SIGMA: 0.20, LD: 0.24, APO : 530209.16
RUN #: 54, SAMPLE #: 139, EFPA: -11.74, SIGMA: -0.50, LD: 0.23, APO : 515793.29
RUN #: 55, SAMPLE #: 25, EFPA: -11.78, SIGMA: -0.06, LD: 0.24, APO : 515215.44
RUN #: 56, SAMPLE #: 192, EFPA: -11.72, SIGMA: 0.64, LD: 0.25, APO : 545658.38
RUN #: 57, SAMPLE #: 24, EFPA: -11.58, SIGMA: 0.53, LD: 0.23, APO : 558063.90
RUN #: 58, SAMPLE #: 151, EFPA: -11.67, SIGMA: -0.23, LD: 0.25, APO : 566451.17
RUN #: 59, SAMPLE #: 1, EFPA: -11.73, SIGMA: -0.40, LD: 0.26, APO : 526944.12
RUN #: 60, SAMPLE #: 151, EFPA: -11.62, SIGMA: 1.14, LD: 0.23, APO : 512859.57
RUN #: 61, SAMPLE #: 180, EFPA: -11.67, SIGMA: -0.41, LD: 0.23, APO : 535973.89
RUN #: 62, SAMPLE #: 99, EFPA: -11.50, SIGMA: 0.89, LD: 0.25, APO : 522923.83
RUN #: 63, SAMPLE #: 197, EFPA: -11.68, SIGMA: 2.28, LD: 0.26, APO : 538977.64
RUN #: 64, SAMPLE #: 124, EFPA: -11.73, SIGMA: 2.00, LD: 0.23, APO : 522123.15
RUN #: 65, SAMPLE #: 17, EFPA: -11.52, SIGMA: -0.99, LD: 0.23, APO : 490503.83
RUN #: 66, SAMPLE #: 24, EFPA: -11.67, SIGMA: 0.70, LD: 0.22, APO : 495156.89
RUN #: 67, SAMPLE #: 54, EFPA: -11.59, SIGMA: 0.66, LD: 0.24, APO : 471032.12
RUN #: 68, SAMPLE #: 21, EFPA: -11.58, SIGMA: 0.68, LD: 0.23, APO : 525352.89
RUN #: 69, SAMPLE #: 103, EFPA: -11.69, SIGMA: 0.61, LD: 0.26, APO : 508606.69
RUN #: 70, SAMPLE #: 169, EFPA: -11.58, SIGMA: 0.34, LD: 0.24, APO : 511576.42
RUN #: 71, SAMPLE #: 126, EFPA: -11.78, SIGMA: -0.48, LD: 0.26, APO : 573537.39
RUN #: 72, SAMPLE #: 165, EFPA: -11.58, SIGMA: 0.31, LD: 0.25, APO : 535650.74
RUN #: 73, SAMPLE #: 22, EFPA: -11.76, SIGMA: -1.49, LD: 0.23, APO : 486861.19
RUN #: 74, SAMPLE #: 27, EFPA: -11.72, SIGMA: 0.03, LD: 0.26, APO : 568541.70
RUN #: 75, SAMPLE #: 110, EFPA: -11.69, SIGMA: -0.14, LD: 0.26, APO : 547093.99
RUN #: 76, SAMPLE #: 2, EFPA: -11.69, SIGMA: 1.87, LD: 0.23, APO : 520466.15
RUN #: 77, SAMPLE #: 38, EFPA: -11.92, SIGMA: 0.10, LD: 0.22, APO : 530541.99
RUN #: 78, SAMPLE #: 187, EFPA: -11.65, SIGMA: 0.45, LD: 0.25, APO : 560142.83
RUN #: 79, SAMPLE #: 8, EFPA: -11.75, SIGMA: 0.37, LD: 0.23, APO : 527796.27
RUN #: 80, SAMPLE #: 112, EFPA: -11.66, SIGMA: -1.32, LD: 0.25, APO : 533065.23
RUN #: 81, SAMPLE #: 94, EFPA: -11.67, SIGMA: 1.66, LD: 0.25, APO : 573981.94
RUN #: 82, SAMPLE #: 76, EFPA: -11.66, SIGMA: -0.93, LD: 0.25, APO : 537381.74
RUN #: 83, SAMPLE #: 107, EFPA: -11.58, SIGMA: 3.13, LD: 0.23, APO : 532500.39
RUN #: 84, SAMPLE #: 176, EFPA: -11.55, SIGMA: -1.38, LD: 0.25, APO : 519177.50
RUN #: 85, SAMPLE #: 14, EFPA: -11.77, SIGMA: 0.82, LD: 0.26, APO : 534329.33
RUN #: 86, SAMPLE #: 44, EFPA: -11.63, SIGMA: 0.63, LD: 0.25, APO : 519804.50
RUN #: 87, SAMPLE #: 110, EFPA: -11.70, SIGMA: 2.84, LD: 0.24, APO : 532965.27
RUN #: 88, SAMPLE #: 151, EFPA: -11.63, SIGMA: -0.69, LD: 0.24, APO : 567253.40
RUN #: 89, SAMPLE #: 78, EFPA: -11.92, SIGMA: 0.10, LD: 0.24, APO : 535118.55
RUN #: 90, SAMPLE #: 107, EFPA: -11.75, SIGMA: -0.06, LD: 0.26, APO : 500057.63
RUN #: 91, SAMPLE #: 37, EFPA: -11.72, SIGMA: -1.25, LD: 0.23, APO : 509025.48
RUN #: 92, SAMPLE #: 42, EFPA: -11.40, SIGMA: -0.71, LD: 0.25, APO : 518351.28
RUN #: 93, SAMPLE #: 116, EFPA: -11.89, SIGMA: -0.72, LD: 0.23, APO : 481005.97
RUN #: 94, SAMPLE #: 31, EFPA: -11.56, SIGMA: 0.24, LD: 0.25, APO : 552986.48
RUN #: 95, SAMPLE #: 88, EFPA: -11.72, SIGMA: 0.83, LD: 0.24, APO : 476259.52
RUN #: 96, SAMPLE #: 160, EFPA: -11.63, SIGMA: 0.08, LD: 0.27, APO : 524597.88
RUN #: 97, SAMPLE #: 47, EFPA: -11.55, SIGMA: 2.07, LD: 0.23, APO : 527990.70
RUN #: 98, SAMPLE #: 80, EFPA: -11.56, SIGMA: 0.64, LD: 0.23, APO : 570432.37
RUN #: 99, SAMPLE #: 62, EFPA: -11.73, SIGMA: -1.06, LD: 0.27, APO : 522995.41
RUN #: 100, SAMPLE #: 129, EFPA: -11.57, SIGMA: -0.75, LD: 0.25, APO : 527693.28
RUN #: 101, SAMPLE #: 118, EFPA: -11.75, SIGMA: -0.24, LD: 0.24, APO : 486937.60
RUN #: 102, SAMPLE #: 37, EFPA: -11.70, SIGMA: -0.95, LD: 0.24, APO : 526373.91
RUN #: 103, SAMPLE #: 196, EFPA: -11.68, SIGMA: 0.24, LD: 0.25, APO : 493388.39
RUN #: 104, SAMPLE #: 101, EFPA: -11.70, SIGMA: 0.45, LD: 0.24, APO : 540350.16
RUN #: 105, SAMPLE #: 30, EFPA: -11.81, SIGMA: 0.52, LD: 0.25, APO : 533412.12
RUN #: 106, SAMPLE #: 184, EFPA: -11.79, SIGMA: -1.17, LD: 0.21, APO : 531851.09
RUN #: 107, SAMPLE #: 113, EFPA: -11.76, SIGMA: 0.77, LD: 0.23, APO : 499777.83
RUN #: 108, SAMPLE #: 82, EFPA: -11.74, SIGMA: 0.56, LD: 0.25, APO : 586399.46
RUN #: 109, SAMPLE #: 43, EFPA: -11.81, SIGMA: -0.22, LD: 0.24, APO : 540054.85
RUN #: 110, SAMPLE #: 170, EFPA: -11.67, SIGMA: 1.54, LD: 0.21, APO : 528703.86
RUN #: 111, SAMPLE #: 19, EFPA: -11.59, SIGMA: -0.15, LD: 0.23, APO : 510290.95
RUN #: 112, SAMPLE #: 64, EFPA: -11.78, SIGMA: -0.10, LD: 0.25, APO : 517478.89
RUN #: 113, SAMPLE #: 36, EFPA: -11.55, SIGMA: 0.17, LD: 0.24, APO : 522644.63
RUN #: 114, SAMPLE #: 67, EFPA: -11.50, SIGMA: -0.04, LD: 0.23, APO : 523608.20
RUN #: 115, SAMPLE #: 45, EFPA: -11.70, SIGMA: -0.39, LD: 0.28, APO : 545410.45
RUN #: 116, SAMPLE #: 84, EFPA: -11.80, SIGMA: -0.53, LD: 0.21, APO : 488841.81
RUN #: 117, SAMPLE #: 123, EFPA: -11.75, SIGMA: 0.67, LD: 0.24, APO : 579395.64
RUN #: 118, SAMPLE #: 115, EFPA: -11.77, SIGMA: 0.32, LD: 0.23, APO : 505717.88
RUN #: 119, SAMPLE #: 42, EFPA: -11.85, SIGMA: -0.21, LD: 0.25, APO : 468586.63
RUN #: 120, SAMPLE #: 181, EFPA: -11.85, SIGMA: 1.89, LD: 0.25, APO : 518030.91
RUN #: 121, SAMPLE #: 23, EFPA: -11.62, SIGMA: 0.33, LD: 0.24, APO : 471947.30
RUN #: 122, SAMPLE #: 69, EFPA: -11.90, SIGMA: -1.43, LD: 0.23, APO : 495976.48
RUN #: 123, SAMPLE #: 115, EFPA: -11.59, SIGMA: -1.34, LD: 0.24, APO : 505167.63
RUN #: 124, SAMPLE #: 99, EFPA: -11.80, SIGMA: -0.80, LD: 0.23, APO : 530393.03
RUN #: 125, SAMPLE #: 175, EFPA: -11.69, SIGMA: -0.64, LD: 0.25, APO : 566247.17
RUN #: 126, SAMPLE #: 73, EFPA: -11.76, SIGMA: -0.78, LD: 0.24, APO : 543485.87
RUN #: 127, SAMPLE #: 67, EFPA: -11.64, SIGMA: -0.34, LD: 0.25, APO : 575696.00
RUN #: 128, SAMPLE #: 92, EFPA: -11.76, SIGMA: 0.78, LD: 0.25, APO : 510100.74
RUN #: 129, SAMPLE #: 124, EFPA: -11.61, SIGMA: -0.18, LD: 0.23, APO : 533371.27
RUN #: 130, SAMPLE #: 65, EFPA: -11.72, SIGMA: 0.20, LD: 0.25, APO : 481608.85
RUN #: 131, SAMPLE #: 28, EFPA: -11.75, SIGMA: -0.23, LD: 0.23, APO : 521314.45
RUN #: 132, SAMPLE #: 30, EFPA: -11.66, SIGMA: 0.07, LD: 0.26, APO : 520984.42
RUN #: 133, SAMPLE #: 185, EFPA: -11.70, SIGMA: 0.61, LD: 0.24, APO : 530627.45
RUN #: 134, SAMPLE #: 122, EFPA: -11.58, SIGMA: 0.46, LD: 0.24, APO : 526584.06
RUN #: 135, SAMPLE #: 115, EFPA: -11.82, SIGMA: 2.27, LD: 0.26, APO : 545636.09
RUN #: 136, SAMPLE #: 148, EFPA: -11.72, SIGMA: 0.84, LD: 0.24, APO : 507290.83
RUN #: 137, SAMPLE #: 67, EFPA: -11.65, SIGMA: 1.76, LD: 0.23, APO : 532034.60
RUN #: 138, SAMPLE #: 101, EFPA: -11.86, SIGMA: 0.48, LD: 0.22, APO : 500521.19
RUN #: 139, SAMPLE #: 103, EFPA: -11.66, SIGMA: 1.33, LD: 0.25, APO : 537049.65
RUN #: 140, SAMPLE #: 200, EFPA: -11.64, SIGMA: 0.78, LD: 0.25, APO : 470914.31
RUN #: 141, SAMPLE #: 123, EFPA: -11.67, SIGMA: -1.74, LD: 0.23, APO : 460488.58
RUN #: 142, SAMPLE #: 165, EFPA: -11.71, SIGMA: -0.36, LD: 0.23, APO : 499873.45
RUN #: 143, SAMPLE #: 14, EFPA: -11.80, SIGMA: 0.52, LD: 0.25, APO : 551466.45
RUN #: 144, SAMPLE #: 199, EFPA: -11.51, SIGMA: 2.91, LD: 0.23, APO : 523228.99
RUN #: 145, SAMPLE #: 73, EFPA: -11.79, SIGMA: 0.45, LD: 0.26, APO : 497267.46
RUN #: 146, SAMPLE #: 42, EFPA: -11.63, SIGMA: 1.30, LD: 0.24, APO : 507254.87
RUN #: 147, SAMPLE #: 139, EFPA: -11.94, SIGMA: -1.31, LD: 0.24, APO : 494707.89
RUN #: 148, SAMPLE #: 97, EFPA: -11.70, SIGMA: -0.70, LD: 0.23, APO : 563166.36
RUN #: 149, SAMPLE #: 69, EFPA: -11.56, SIGMA: 1.35, LD: 0.23, APO : 514606.45
RUN #: 150, SAMPLE #: 63, EFPA: -11.77, SIGMA: -0.68, LD: 0.23, APO : 514645.86
RUN #: 151, SAMPLE #: 109, EFPA: -11.72, SIGMA: 1.39, LD: 0.25, APO : 540121.45
RUN #: 152, SAMPLE #: 98, EFPA: -11.51, SIGMA: 0.80, LD: 0.26, APO : 499031.56
RUN #: 153, SAMPLE #: 77, EFPA: -11.87, SIGMA: 0.75, LD: 0.26, APO : 560308.03
RUN #: 154, SAMPLE #: 39, EFPA: -11.79, SIGMA: -0.38, LD: 0.25, APO : 534908.40
RUN #: 155, SAMPLE #: 8, EFPA: -11.65, SIGMA: 1.18, LD: 0.24, APO : 565840.43
RUN #: 156, SAMPLE #: 20, EFPA: -11.61, SIGMA: 1.07, LD: 0.24, APO : 492126.44
RUN #: 157, SAMPLE #: 45, EFPA: -11.81, SIGMA: -0.86, LD: 0.24, APO : 506735.86
RUN #: 158, SAMPLE #: 98, EFPA: -11.84, SIGMA: 0.99, LD: 0.24, APO : 545306.99
RUN #: 159, SAMPLE #: 186, EFPA: -11.63, SIGMA: -0.03, LD: 0.24, APO : 539082.17
RUN #: 160, SAMPLE #: 8, EFPA: -11.77, SIGMA: -0.53, LD: 0.20, APO : 553833.58
RUN #: 161, SAMPLE #: 155, EFPA: -11.58, SIGMA: -1.16, LD: 0.25, APO : 574280.69
RUN #: 162, SAMPLE #: 168, EFPA: -11.82, SIGMA: 1.53, LD: 0.23, APO : 548921.24
RUN #: 163, SAMPLE #: 78, EFPA: -11.75, SIGMA: -2.15, LD: 0.24, APO : 503992.93
RUN #: 164, SAMPLE #: 44, EFPA: -11.71, SIGMA: 1.59, LD: 0.25, APO : 505822.27
RUN #: 165, SAMPLE #: 31, EFPA: -11.64, SIGMA: -1.64, LD: 0.25, APO : 506804.02
RUN #: 166, SAMPLE #: 187, EFPA: -11.77, SIGMA: -1.07, LD: 0.23, APO : 507853.08
RUN #: 167, SAMPLE #: 185, EFPA: -11.78, SIGMA: -0.41, LD: 0.24, APO : 561871.63
RUN #: 168, SAMPLE #: 152, EFPA: -11.65, SIGMA: 0.37, LD: 0.25, APO : 547781.70
RUN #: 169, SAMPLE #: 163, EFPA: -11.68, SIGMA: -0.36, LD: 0.22, APO : 552690.75
RUN #: 170, SAMPLE #: 132, EFPA: -11.74, SIGMA: 0.13, LD: 0.23, APO : 516754.14
RUN #: 171, SAMPLE #: 13, EFPA: -11.72, SIGMA: 1.15, LD: 0.25, APO : 518719.25
RUN #: 172, SAMPLE #: 65, EFPA: -11.84, SIGMA: 1.15, LD: 0.25, APO : 554519.03
RUN #: 173, SAMPLE #: 190, EFPA: -11.76, SIGMA: -0.12, LD: 0.22, APO : 525471.12
RUN #: 174, SAMPLE #: 139, EFPA: -11.63, SIGMA: -0.84, LD: 0.24, APO : 518952.82
RUN #: 175, SAMPLE #: 67, EFPA: -11.65, SIGMA: -0.89, LD: 0.24, APO : 526806.16
RUN #: 176, SAMPLE #: 156, EFPA: -11.54, SIGMA: -0.42, LD: 0.25, APO : 505105.44
RUN #: 177, SAMPLE #: 67, EFPA: -11.70, SIGMA: 1.16, LD: 0.24, APO : 504129.70
RUN #: 178, SAMPLE #: 101, EFPA: -11.77, SIGMA: -0.22, LD: 0.23, APO : 516809.15
RUN #: 179, SAMPLE #: 172, EFPA: -11.63, SIGMA: 0.43, LD: 0.23, APO : 486186.91
RUN #: 180, SAMPLE #: 44, EFPA: -11.80, SIGMA: 0.86, LD: 0.25, APO : 537264.04
RUN #: 181, SAMPLE #: 80, EFPA: -11.74, SIGMA: -0.51, LD: 0.24, APO : 506301.85
RUN #: 182, SAMPLE #: 36, EFPA: -11.66, SIGMA: -0.43, LD: 0.25, APO : 502876.66
RUN #: 183, SAMPLE #: 64, EFPA: -11.61, SIGMA: -1.53, LD: 0.22, APO : 590499.74
RUN #: 184, SAMPLE #: 52, EFPA: -11.58, SIGMA: 1.46, LD: 0.25, APO : 559365.78
RUN #: 185, SAMPLE #: 104, EFPA: -11.61, SIGMA: -0.02, LD: 0.24, APO : 497420.28
RUN #: 186, SAMPLE #: 29, EFPA: -11.67, SIGMA: -0.55, LD: 0.24, APO : 540331.64
RUN #: 187, SAMPLE #: 119, EFPA: -11.79, SIGMA: -1.27, LD: 0.21, APO : 580523.13
RUN #: 188, SAMPLE #: 98, EFPA: -11.63, SIGMA: 0.69, LD: 0.22, APO : 499206.90
RUN #: 189, SAMPLE #: 169, EFPA: -11.81, SIGMA: 1.28, LD: 0.23, APO : 540453.28
RUN #: 190, SAMPLE #: 133, EFPA: -11.68, SIGMA: -0.30, LD: 0.26, APO : 556786.00
RUN #: 191, SAMPLE #: 180, EFPA: -11.80, SIGMA: 1.26, LD: 0.25, APO : 521565.94
RUN #: 192, SAMPLE #: 187, EFPA: -11.67, SIGMA: -0.28, LD: 0.23, APO : 515978.63
RUN #: 193, SAMPLE #: 158, EFPA: -11.68, SIGMA: 0.04, LD: 0.24, APO : 505415.03
RUN #: 194, SAMPLE #: 49, EFPA: -11.59, SIGMA: -0.20, LD: 0.25, APO : 506116.41
RUN #: 195, SAMPLE #: 162, EFPA: -11.76, SIGMA: 0.05, LD: 0.26, APO : 513077.45
RUN #: 196, SAMPLE #: 13, EFPA: -11.77, SIGMA: 2.72, LD: 0.23, APO : 527611.75
RUN #: 197, SAMPLE #: 106, EFPA: -11.60, SIGMA: -0.12, LD: 0.25, APO : 512356.09
RUN #: 198, SAMPLE #: 116, EFPA: -11.71, SIGMA: -1.73, LD: 0.23, APO : 527475.07
RUN #: 199, SAMPLE #: 88, EFPA: -11.62, SIGMA: 0.80, LD: 0.23, APO : 527912.52
RUN #: 200, SAMPLE #: 186, EFPA: -11.62, SIGMA: -2.09, LD: 0.24, APO : 614459.45
RUN #: 201, SAMPLE #: 49, EFPA: -11.78, SIGMA: 0.05, LD: 0.26, APO : 545552.76
RUN #: 202, SAMPLE #: 12, EFPA: -11.55, SIGMA: -0.49, LD: 0.23, APO : 558304.16
RUN #: 203, SAMPLE #: 102, EFPA: -11.59, SIGMA: 0.29, LD: 0.23, APO : 505943.87
RUN #: 204, SAMPLE #: 174, EFPA: -11.65, SIGMA: 0.14, LD: 0.23, APO : 528679.71
RUN #: 205, SAMPLE #: 101, EFPA: -11.81, SIGMA: -1.31, LD: 0.23, APO : 528954.18
RUN #: 206, SAMPLE #: 70, EFPA: -11.69, SIGMA: -0.84, LD: 0.24, APO : 557462.00
RUN #: 207, SAMPLE #: 195, EFPA: -11.84, SIGMA: 0.01, LD: 0.25, APO : 484275.92
RUN #: 208, SAMPLE #: 161, EFPA: -11.57, SIGMA: -0.33, LD: 0.25, APO : 525631.90
RUN #: 209, SAMPLE #: 198, EFPA: -11.77, SIGMA: 1.18, LD: 0.26, APO : 591190.61
RUN #: 210, SAMPLE #: 130, EFPA: -11.54, SIGMA: -0.43, LD: 0.26, APO : 533707.23
RUN #: 211, SAMPLE #: 36, EFPA: -11.66, SIGMA: -1.20, LD: 0.23, APO : 594383.26
RUN #: 212, SAMPLE #: 24, EFPA: -11.84, SIGMA: 1.27, LD: 0.26, APO : 506196.31
RUN #: 213, SAMPLE #: 110, EFPA: -11.75, SIGMA: -0.02, LD: 0.25, APO : 512636.88
RUN #: 214, SAMPLE #: 127, EFPA: -11.66, SIGMA: 1.98, LD: 0.27, APO : 536846.40
RUN #: 215, SAMPLE #: 190, EFPA: -11.68, SIGMA: -0.07, LD: 0.23, APO : 541232.79
RUN #: 216, SAMPLE #: 146, EFPA: -11.74, SIGMA: 1.43, LD: 0.25, APO : 497418.00
RUN #: 217, SAMPLE #: 20, EFPA: -11.60, SIGMA: 0.65, LD: 0.24, APO : 566663.72
RUN #: 218, SAMPLE #: 76, EFPA: -11.84, SIGMA: -0.27, LD: 0.21, APO : 473456.42
RUN #: 219, SAMPLE #: 96, EFPA: -11.63, SIGMA: 0.33, LD: 0.23, APO : 541760.41
RUN #: 220, SAMPLE #: 183, EFPA: -11.78, SIGMA: 0.42, LD: 0.24, APO : 550686.38
RUN #: 221, SAMPLE #: 199, EFPA: -11.90, SIGMA: -1.07, LD: 0.25, APO : 497838.11
RUN #: 222, SAMPLE #: 25, EFPA: -11.86, SIGMA: -0.38, LD: 0.23, APO : 506139.95
RUN #: 223, SAMPLE #: 60, EFPA: -11.81, SIGMA: 1.13, LD: 0.25, APO : 500592.12
RUN #: 224, SAMPLE #: 79, EFPA: -11.65, SIGMA: 0.37, LD: 0.23, APO : 530560.25
RUN #: 225, SAMPLE #: 23, EFPA: -11.80, SIGMA: -0.63, LD: 0.24, APO : 520865.04
RUN #: 226, SAMPLE #: 91, EFPA: -11.62, SIGMA: -0.14, LD: 0.25, APO : 534735.76
RUN #: 227, SAMPLE #: 112, EFPA: -11.62, SIGMA: -0.86, LD: 0.25, APO : 524167.23
RUN #: 228, SAMPLE #: 66, EFPA: -11.66, SIGMA: -0.93, LD: 0.25, APO : 587453.78
RUN #: 229, SAMPLE #: 151, EFPA: -11.73, SIGMA: 0.06, LD: 0.23, APO : 502169.57
RUN #: 230, SAMPLE #: 45, EFPA: -11.55, SIGMA: 1.50, LD: 0.22, APO : 570893.57
RUN #: 231, SAMPLE #: 103, EFPA: -11.72, SIGMA: 0.14, LD: 0.25, APO : 479156.67
RUN #: 232, SAMPLE #: 114, EFPA: -11.78, SIGMA: 0.13, LD: 0.23, APO : 522190.33
RUN #: 233, SAMPLE #: 170, EFPA: -11.71, SIGMA: 0.72, LD: 0.25, APO : 559147.74
RUN #: 234, SAMPLE #: 44, EFPA: -11.70, SIGMA: 0.54, LD: 0.25, APO : 513076.39
RUN #: 235, SAMPLE #: 12, EFPA: -11.71, SIGMA: 0.09, LD: 0.25, APO : 519899.51
RUN #: 236, SAMPLE #: 6, EFPA: -11.74, SIGMA: -1.56, LD: 0.23, APO : 523624.46
RUN #: 237, SAMPLE #: 150, EFPA: -11.54, SIGMA: 0.53, LD: 0.24, APO : 529166.50
RUN #: 238, SAMPLE #: 96, EFPA: -11.54, SIGMA: 2.24, LD: 0.25, APO : 552972.33
RUN #: 239, SAMPLE #: 25, EFPA: -11.72, SIGMA: 0.23, LD: 0.22, APO : 500161.75
RUN #: 240, SAMPLE #: 125, EFPA: -11.80, SIGMA: -0.04, LD: 0.24, APO : 561010.38
RUN #: 241, SAMPLE #: 74, EFPA: -11.66, SIGMA: -0.34, LD: 0.26, APO : 561755.10
