ID,Author(s),Title,Year,Type,Journal / Conference / Report,Publisher,Country of Origin,Targets,Target Class,Author Affiliation,Funding Organization,Copy of previous
18,C. C. Jamison,The utilization of Shuttle launched vehicles for technical validation of advanced earth and planetary entry systems,1982,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Earth,Earth,General Electric Co.,NA,N
19,G. Menees,Trajectory analysis of radiative heating for planetary missions withaerobraking of spacecraft,1983,Conference,Aerospace Sciences Meeting,AIAA,USA,"Earth, Titan",Earth,NASA Ames Research Center,NA,N
20,S. Hoffman,A comparison of aerobraking and aerocapture vehicles for interplanetary mission,1984,Conference,AIAA/AAS Astrodynamics Conference,AIAA,USA,"Venus, Earth, Mars, Titan, Uranus",Uranus,Science Applications Inc.,NASA HQ,N
21,M. Green,Aerothermodynamic environment and thermal protection for a Titan aerocapture vehicle,1984,Conference,Thermophysics Conference,AIAA,USA,Titan,Titan,NASA Ames Research Center,NA,N
22,C. J. Cerimele,Meteorological accuracy requirements for aerobraking orbital transfer vehicles,1984,Conference,Aerospace Sciences Meeting,AIAA,USA,Earth,Earth,NASA Johnson Space Center,NASA,N
23,D. E. Florence,Aerothermodynamic Design Feasibility of a Mars Aerocapture Vehicle,1985,Journal,Journal of Spacecraft,AIAA,USA,Mars,Mars,General Electric Co.,NASA / JPL,Y
24,C. J. Cerimele,A Simplified Guidance Algorithm for Lifting Aero-Assist Orbital Transfer Vehicles,1985,Conference,Aerospace Sciences Meeting,AIAA,USA,Earth,Earth,NASA Johnson Space Center,NASA / JPL,N
25,G. D. Walberg,A Survey of Aero-Assisted Orbital Transfer,1985,Journal,Journal of Spacecraft,AIAA,USA,"Venus, Earth, Mars",Generic,NASA Langley Research Center,NA,N
26,G. Menees,Trajectory analysis of radiative heating for planetary missions withaerobraking of spacecraft,1985,Journal,Journal of Spacecraft,AIAA,USA,"Earth, Titan",Earth,NASA Ames Research Center,NA,Y
27,D. G. Hull,Aeroassisted Orbital Plane Change Using an Elliptic Drag Polar,1988,Journal,Journal of Astronautical Sciences,AAS,USA,Earth,Earth,University of Texas at Austin,NASA / JPL,N
28,C. J. Cerimele,Atmospheric Guidance Concepts for Aeroassist Flight Experiment,1988,Journal,Journal of Astronautical Sciences,AAS,USA,Earth,Earth,NASA Langley Research Center,NASA,N
29,D. G. Hull,Improved Plane Change Using Successive Approximation,1988,Journal,Journal of Astronautical Sciences,AAS,USA,Earth,Earth,University of Texas at Austin,NASA / JPL,N
30,A. Cohen,Mars Sample Return Mission Delivery and Return Challenges,1988,Conference,International Symposium on Space Automation and Robotics,AIAA,USA,Mars,Mars,NASA Johnson Space Center,NA,N
31,K. D. Mease,Optimization of Aeroassisted Orbital Transfer - Current Status,1988,Journal,Journal of Astronautical Sciences,AAS,USA,Earth,Earth,Jet Propulsion Lab,NASA / JPL,N
32,K. D. Mease,Orbital Changes during Hypersonic Aerocruise,1988,Journal,Journal of Astronautical Sciences,AAS,USA,Earth,Earth,Jet Propulsion Lab,NASA / JPL,N
33,A. J. Calise,Singular Perturbation Analysis of the Atmospheric Orbital Plane Change Problem,1988,Journal,Journal of Astronautical Sciences,AAS,USA,Earth,Earth,Georgia Institute of Technology,NASA,N
34,R. Gamber,"Aerocapture, Entry and Landing systems for the Mars Rover Sample Return mission",1989,Conference,Aerospace Sciences Meeting,AIAA,USA,Mars,Mars,Martin Marietta,NA,N
35,J. Serrano-Martinez,Aerocapture guidance and navigation for the Rosetta Comet Nucleus Sample Return Mission,1989,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Earth,Earth,"GMV, Spain",NA,N
36,R. H. Ess,Aerodynamic requirements for a Mars rover/sample return aerocapture vehicle,1989,Conference,Aerospace Sciences Meeting,AIAA,USA,Mars,Mars,NASA Johnson Space Center,NA,N
37,T. Brand,An onboard navigation system which fulfills Mars aerocapture guidance requirements,1989,Conference,Aerospace Sciences Meeting,AIAA,USA,Mars,Mars,MIT,NASA / JPL,N
38,J. Rose,Conceptual Design of the Mars Rover Sample Return System,1989,Conference,Aerospace Sciences Meeting,AIAA,USA,Mars,Mars,Jet Propulsion Lab,NASA / JPL,N
39,H. Matsuo,Guidance Method for Venus Aerocapture Mission with Atmospheric and Navigation Error,1989,Journal,Journal of Science and Technology of Space,Japanese Rocket Society,Japan,Venus,Venus,Institute of Space and Astronautical Science (ISAS),NA,N
40,S. Lawson,MRSR Aerocapture Configuration Design and Packaging Constraints,1989,Conference,Aerospace Sciences Meeting,AIAA,USA,Mars,Mars,NASA Johnson Space Center,NA,N
41,M. I. Cruz,21st Century Early Mission Concepts For Mars Delivery and Earth Return,1990,Conference,AIAA/AAS Astrodynamics Conference,AIAA,USA,Mars,Mars,Jet Propulsion Lab,NASA / JPL,N
42,W. L. Wells,Aerodynamic Coefficients for AFE,1990,Report,NASA TM,NASA,USA,Earth,Earth,NASA Langley Research Center,NA,N
43,W. C. Rochelle,Aerothermodynamic Environments for Mars Sample Return Missions,1990,Conference,AIAA/ASME Joint Thermophysics and Heat Transfer Conference,AIAA,USA,"Earth, Mars",Earth,Lockheed Engineering and Science Co.,NA,N
44,S. D. Williams,A Preliminary TPS Design For MSR - Aerobraking at Mars and at Earth,1990,Conference,Aerospace Sciences Meeting,AIAA,USA,"Earth, Mars",Earth,Lockheed Engineering and Science Co.,NA,N
45,R. H. Ess,Atmospheric Effects of Martian Aerocapture,1990,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Mars,Mars,NASA Johnson Space Center,NA,N
46,A. Miele,Optimal Trajectories for the Aeroassist Flight Experiment,1990,Journal,Acta Astronautica,Elsevier,USA,Earth,Earth,Rice University,NASA / JPL,N
47,C. H. Eldred,Aerobraking for Space Exploration,1991,Book Chapter,"Mars: Past, Present, and Future",AIAA,USA,Mars,Mars,NASA Langley Research Center,NA,N
48,G. D. Walberg,Aerocapture for Manned Mars Missions - Status and Challenges,1991,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Mars,Mars,NASA Langley Research Center,NA,N
49,S. T. DeLoux,Aerothermodynamic Environments of Aerobraking Vehicles for Manned Mars Missions,1991,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Mars,Mars,Boeing Defense and Space,NASA,N
50,R. D. Braun,Earth Aerobraking Strategies for Manned Return from Mars,1991,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Earth,Earth,NASA Langley Research Center,NA,N
51,R. Carpenter,Aeroassist Flight Experiment,1992,Report,Technical Report,UT Austin,USA,Earth,Earth,University of Texas at Austin,NA,N
52,A. Vijayaraghavan,Aerocapture and Aeromanuevering at Mars,1992,Conference,AIAA/AAS Astrodynamics Conference,AIAA,USA,Mars,Mars,Jet Propulsion Lab,NA,N
53,J. Puig-Suari,Aerocapture with a Flexible Tether,1992,Conference,AIAA/AAS Astrodynamics Conference,AIAA,USA,Generic,Generic,Purdue University,NA,N
54,G. A. Dukemann,A Generalized Reusable Guidance Algorithm for Optimal Aerobraking,1992,Report,Technical Report,NASA,USA,Earth,Earth,NASA Marshall Space Flight Center,NASA,N
55,R. W. Powell,A Six-Degree-of -Freedom Guidance and Control Analysis of Mars Aerocapture,1992,Conference,Aerospace Sciences Meeting,AIAA,USA,Mars,Mars,NASA Langley Research Center,NASA,N
56,R. D. Braun,Earth Aerobraking Strategies for Manned Return from Mars,1992,Journal,Journal of Spacecraft and Rockets,AIAA,USA,Mars,Mars,NASA Langley Research Center,NA,Y
57,J. E. Lyne,Parametric Study of Manned Aerocapture,1992,Journal,Journal of Spacecraft and Rockets,AIAA,USA,Mars,Mars,Eloret Institute,NASA,N
58,J. E. Lyne,Parametric Study of Manned Aerocapture - Part II Mars Entry,1992,Journal,Journal of Spacecraft and Rockets,AIAA,USA,Mars,Mars,Eloret Institute,NASA,N
59,J. E. Lyne,Physiologically Constrained Aerocapture for Manned Mars Missions,1992,Report,Technical Report,NASA,USA,Mars,Mars,NASA Ames Research Center,NASA,N
60,J. Puig-Suari,Aerocapture with a Flexible Tether,1993,Journal,"Journal of Guidance, Control and Dynamics",AIAA,USA,Generic,Generic,Purdue University,NA,Y
61,J. E. Lyne,Effect of Parking Orbit Period on Aerocapture for Manned Mars Missions,1993,Journal,Journal of Spacecraft and Rockets,AIAA,USA,Mars,Mars,"University of Tennessee, Knoxville",NASA,N
62,J. G. Gurley,Guidance for an Aerocapture Maneuver,1993,Journal,"Journal of Guidance, Control and Dynamics",AIAA,USA,Mars,Mars,Hughes Aircraft Company,NA,N
63,R. W. Powell,A Six-Degree-of -Freedom Guidance and Control Analysis of Mars Aerocapture,1993,Journal,"Journal of Guidance, Control and Dynamics",AIAA,USA,Mars,Mars,NASA Langley Research Center,NA,Y
64,S. D. Williams,Thermal Protection System Design Studies for Lunar Crew Module,1993,Conference,Thermophysics Conference,AIAA,USA,Earth,Earth,Lockheed Engineering and Science Co.,NA,N
65,K. Suzuki,Viscous Shock-Layer Analysis on Thermally and Chemically Non-equilibrium Forebody Flow of Mars Aerocapture,1993,Conference,Thermophysics Conference,AIAA,Japan,Mars,Mars,Institute of Space and Astronautical Science (ISAS),NA,N
66,P. F. Wercinski,Mars Aerocapture: Extension and Refinement,1994,Journal,Journal of Spacecraft,AIAA,USA,Mars,Mars,NASA Ames Research Center,NA,N
67,J. E. Lyne,Physiological Constraints on Deceleration During the Aerocapture of Manned Vehicles,1994,Journal,Journal of Spacecraft and Rockets,AIAA,USA,"Earth, Mars",Earth,"University of Tennessee, Knoxville",NASA,N
68,M. E. Tauber,Technical Comment - Guidance for Aerocapture,1994,Journal,"Journal of Guidance, Control and Dynamics",AIAA,USA,Earth,Earth,NASA Ames Research Center,NA,N
69,K. Suzuki,Thermochemical Nonequilibrium Viscous Shock-Layer Analysis for a Mars Aerocapture Vehicle,1994,Journal,Journal of Thermophysics and Heat Transfer,AIAA,USA,Mars,Mars,Institute of Space and Astronautical Science (ISAS),NA,N
70,J. L. Meyer,Fuel-Optimal Bank-Angle Control for Lunar-Return Aerocapture,1995,Journal,Journal of Spacecraft and Rockets,AIAA,USA,Earth,Earth,North Carolina State University,NASA,N
71,S. D. Williams,Thermal Protection System Design Studies for Lunar Crew Module,1995,Journal,Journal of Spacecraft and Rockets,AIAA,USA,Earth,Earth,Lockheed Engineering and Science Co.,NA,Y
72,P. Papadopoulos,Aerothermal heating simulations with surface catalysis for the Mars 2001 aerocapture mission,1997,Conference,Aerospace Sciences Meeting,AIAA,USA,Mars,Mars,NASA Ames Research Center,NA,N
73,R. Y. Jits,"High LD Mars Aerocapture for 2001, 2003 and 2005 Mission Opportunities",1997,Conference,Aerospace Sciences Meeting,AIAA,USA,Mars,Mars,North Carolina State University,NA,N
74,P. F. Wercinski,"Trajectory, aerothermal conditions, and thermal protection system mass for the MARS 2001 aerocapture mission",1997,Conference,Aerospace Sciences Meeting,AIAA,USA,Mars,Mars,NASA Ames Research Center,NA,N
75,S. G. Tragesser,Analysis and Design of Aerocapture Tether with Accounting for Stochastic Error,1998,Journal,Journal of Spacecraft and Rockets,AIAA,USA,Mars,Mars,Purdue University,NA,N
76,L. E. Bryant,Analytic Drag Control for Precision Landing and Aerocapture,1998,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Mars,Mars,NASA Johnson Space Center,NA,N
77,D. S. Gulick,Heat Shield Aeroheating Predictions for a Mars Orbiter Angle of Attack Aerocapture,1998,Conference,AIAA/ASME Joint Thermophysics and Heat Transfer Conference,AIAA,USA,Mars,Mars,Lockheed Martin Astronautics,NA,N
78,Z. V. Leszczynski,"Modeling, Simulation and Visualization of Aerocapture",1998,Thesis,MS Thesis,Naval Postgraduate School,USA,Mars,Mars,Naval Postgraduate School,NASA / JPL,N
79,R. W. Powell,Numerical Roll Reversal Predictor Corrector Aerocapture and Precision Landing Guidance for the Mars Aerocapture,1998,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Mars,Mars,NASA Langley Research Center,NA,N
80,T. U. Ro,Study of Martian Aerocapture,1998,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Mars,Mars,NASA Johnson Space Center,NA,N
81,G.O. Einarsson,Evolution of Thermochemical Models for Aerocapture,1999,Conference,Aerospace Sciences Meeting,AIAA,USA,Earth,Earth,University of Minnesota,Army Research Office,N
82,J. P. Masciarelli,An Analytic Aerocapture Guidance Algorithm for MSR Orbiter,2000,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Mars,Mars,NASA Johnson Space Center,NASA,N
83,N. X. Vinh,Mars Aerocapture using Bank Modulation,2000,Conference,AIAA/AAS Astrodynamics Conference,AIAA,USA,Mars,Mars,University of Michigan,NA,N
84,V. Finchenko,Aerocapture Aerodynammics and  Aerothermal Study Applicability of Inflatable Structures,2000,Conference,AIAA Aerodynamic Decelerator Systems Technology Conference,AIAA,Russia,Mars,Mars,Lavochkin Association,NA,N
85,A. Rasheed,Experimental Investigation of the Flow Over a Toroidal Aerocapture Ballute,2001,Conference,AIAA Applied Aerodynamics Conference,AIAA,USA,"Mars, Titan, Neptune",Generic,California Institute of Technology,NASA/JPL,N
86,S. Rousseau,Aerocapture Guidance Algorithm Comparsion Campaign,2002,Conference,AIAA/AAS Astrodynamics Conference,AIAA,USA,Mars,Mars,Centre National d'Etudes Spatiales,NA,N
87,M. Munk,"Aerocapture System Technology for Planetary Missions, NMP ST9",2002,Report,NASA TM,NASA,USA,Earth,Earth,NASA Langley Research Center,NASA,N
88,P. F. Wercinski,Aerocapture Technology Development Needs for Outer Planet Exploration,2002,Report,NASA TM,NASA,USA,"Venus. Earth, Mars",Generic,NASA Ames Research Center,NA,N
89,C. A. Graves,An Analytical Assessment Of Aerocapture Guidance and Navigation Flight Demonstration,2002,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,"Venus, Earth, Mars, Titan",Generic,NASA Johnson Space Center,NA,N
90,J. L. Hall,An Overview of the Aerocapture Flight Test Experiment (AFTE),2002,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Earth,Earth,Jet Propulsion Lab,NASA,N
91,S. Craig,A Parametric Study of Aerocapture for Misisons to Venus,2002,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Venus,Venus,"University of Tennessee, Knoxville",NA,N
92,C. H. Westhelle,Assessment of Aerocapture at Titan using a drag-only device,2002,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Titan,Titan,NASA Johnson Space Center,NA,N
93,P. Augros,Corridor Control Guidance and Other Derived Guidance Schemes for Aerocapture,2002,Conference,Atmospheric Flight Mechanics Conference,AIAA,France,Mars,Mars,European Aeronautic and Defense Company,NA,N
94,E. Perot,Importance of an On-Board Estimation of the Density Scale Height for Various Aerocapture Guidance Algorithms,2002,Conference,Atmospheric Flight Mechanics Conference,AIAA,France,Mars,Mars,Centre National d'Etudes Spatiales,NA,N
95,R. Y. Jits,Trajectory Analysis for Thermal Protection System Design of Mars Aerocapture Vehicles,2002,Conference,Aerospace Sciences Meeting,AIAA,USA,Mars,Mars,NASA Ames Research Center,NA,N
96,J. DiCarlo,Aerocapture Guidance Methods for High Energy Trajectories - Ph.D. Thesis,2002,Thesis,PhD Thesis,MIT,USA,Earth,Earth,MIT,MIT,N
97,D. W. Way,Aerocapture Simulation and Performance for the Titan Explorer Mission,2003,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,Titan,Titan,NASA Langley Research Center,NA,N
98,B. James,Aerocapture Technology Project Overview,2003,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,"Venus, Earth, Titan, Neptune",Generic,NASA Marshall Space Flight Center,NA,N
99,A. D. McRonald,"Analysis of Aerocapture at Mars using HYPERPASS, a New AeroAssist Tool",2003,Conference,AIAA Aerodynamic Decelerator Systems Technology Conference,AIAA,USA,Mars,Mars,Global Aerospace Corporation,NASA,N
100,J. Olejniczak,An Analysis of the Radiative Heating Environment for Aerocapture at Titan,2003,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,Titan,Titan,NASA Ames Research Center,NASA,N
101,R. J. Haw,Approach Navigation for a Titan Aerocapture Orbiter,2003,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,Titan,Titan,Jet Propulsion Lab,NASA,N
102,J. L. Hall,Cost Benefit Analysis of the Aerocapture Mission Set,2003,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,"Venus, Earth, Mars, Titan, Uranus, Neptune",Uranus,Jet Propulsion Lab,NASA,N
103,U. Trabandt,Deployable CMC Hot Structure Decelerator for Aerobrake,2003,Conference,AIAA Aerodynamic Decelerator Systems Technology Conference,AIAA,Germany,Mars,Mars,European Aeronautic and Defense Company,NA,N
104,C. G. Justus,Engineering Model Atmospheres for Titan and Neptune,2003,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,"Titan, Neptune",Titan,Computer Sciences Corp.,NASA,N
105,J. P. Masciarelli,Guidance Algorithms for Aerocapture at Titan,2003,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,Titan,Titan,NASA Johnson Space Center,NASA,N
106,P. Williams,Heating and Modeling Effects in Tethered Aerocapture Missions,2003,Journal,"Journal of Guidance, Control and Dynamics",AIAA,Australia,Mars,Mars,Royal Melbourne Institute of Technology,NA,N
107,G. J. Brown,Hypercone Inflatable Supersonic Decelerator,2003,Conference,AIAA Aerodynamic Decelerator Systems Technology Conference,AIAA,USA,Mars,Mars,Vertigo Inc.,NA,N
108,B. James,NASA Development of Aerocapture Technologies,2003,Conference,AIAA Aerodynamic Decelerator Systems Technology Conference,AIAA,USA,"Venus, Earth, Titan, Neptune",Generic,NASA Marshall Space Flight Center,NASA,N
109,R.E. Dyke,Planetary Probe Mass Estimation Tool Development and its Application to Titan Aerocapture,2003,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,Titan,Titan,Swales Aerospace,NA,N
110,N. Takashima,Preliminary Aerothermodynamics of Titan Aerocapture Aeroshell,2003,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,Titan,Titan,Analytical Mechanics Inc.,NASA,N
111,R. da Costa,Rapid Protootyping Tool for Development and Validation of GNC Onboard Software,2003,Conference,International Astronautical Congress,AIAA,Germany,Generic,Generic,European Aeronautic and Defense Company,NA,N
112,C. Hanak,Revised Algorithm for Analytic Predictor Corrector Guidance,2003,Conference,"AIAA Guidance, Navigation, and Control Conference",AIAA,USA,Mars,Mars,University of Texas at Austin,NA,N
113,G. A. Hrinda,Structural Design of the Titan Aerocapture Mission,2003,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,Titan,Titan,NASA Langley Research Center,NASA,N
114,F. Bonnefond,Terrestrial Aerocapture Demonstration - How to Design a Low Cost Mission,2003,Conference,International Astronautical Congress,AIAA,Germany,Earth,Earth,European Aeronautic and Defense Company,NA,N
115,B. Laub,Thermal Protection Concepts and Issues for Aerocapture at Titan,2003,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,Titan,Titan,NASA Ames Research Center,NA,N
116,R. W. Bailey,Titan Aerocapture Mission and Spacecraft Design Overview,2003,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,Titan,Titan,Jet Propulsion Lab,NASA,N
117,M. K. Lockwood,Titan Aerocapture Systems Analysis,2003,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,Titan,Titan,NASA Langley Research Center,NASA,N
118,M. Noca,Titan Explorer Mission from the Perspective of Aerocapture,2003,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,Titan,Titan,Jet Propulsion Lab,NASA,N
119,K. L. Miller,Trailing Ballute Aerocapture Concept and Feasibility Assessment,2003,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,"Mars, Titan",Mars,Ball Aerospace Corp.,NASA,N
120,C. Hanak,Aerocapture at Titan and Neptune Navigation Sensitivity Study,2004,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,"Titan, Neptune",Titan,University of Texas at Austin,NA,N
121,J. P. Masciarelli,Aerocapture Guidance Performance for the Neptune Orbiter,2004,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Neptune,Neptune,NASA Johnson Space Center,NA,N
122,B. R Starr,Aerocapture Performance Analysis for a Neptune-Triton Mission,2004,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Neptune,Neptune,NASA Langley Research Center,NASA,N
123,E. M. Queen,Angle of Attack Modulation for Neptune Aerocapture,2004,Conference,AIAA/AAS Astrodynamics Conference,AIAA,USA,Neptune,Neptune,NASA Langley Research Center,NA,N
124,C. G. Justus,Atmospheric Models for Aerocapture,2004,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,"Venus, Earth, Mars, Titan, Neptune",Generic,NASA Marshall Space Flight Center,NA,N
125,C. G. Justus,Atmospheric Models for Aerocapture Systems Studies,2004,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,"Venus, Earth, Mars, Titan, Neptune",Generic,NASA Marshall Space Flight Center,NA,N
126,D. T. Lyons,Ballute Aerocapture Trajectories at Neptune,2004,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Neptune,Neptune,Jet Propulsion Lab,NASA,N
127,R. Y. Jits,Blended control predictor corrector guidance algorithm an enabling technology for Mars aerocapture,2004,Journal,Acta Astronautica,Elsevier,USA,Mars,Mars,NASA Ames Research Center,NA,N
128,T. B. Silvester,Computational Hypervelocity Aerodynamics of a Waverider,2004,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,Australia,Generic,Generic,University of Queensland,NA,N
129,K. T. Edquist,"Configuration, Aerodynamics, and Stability Analysis for a Neptune Aerocapture Orbiter",2004,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Neptune,Neptune,NASA Langley Research Center,NASA,N
130,M. Noca,Mission Trades for Aerocapture at Neptune,2004,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,Neptune,Neptune,Jet Propulsion Lab,NASA,N
131,R. W. Bailey,Neptune Aerocapture Mission and Spacecraft Design Overview,2004,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,Neptune,Neptune,Jet Propulsion Lab,NASA,N
132,M. K. Lockwood,Neptune Aerocapture Systems Analysis,2004,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Neptune,Neptune,NASA Langley Research Center,NASA,N
133,D. I. Fiehler,Neptune Orbiters Utilizing Solar and Radioisotope Electric Propulsion,2004,Conference,AIAA/ASME/SAE/ASEE Joint Propulsion Conference,AIAA,USA,Neptune,Neptune,NASA Glenn Research Center,NASA,N
134,S. B. Josselyn,Optimization of Low Thrust Trajectories with Terminal Aerocapture Maneuvers,2004,Conference,International Astronautical Congress,AIAA,USA,Mars,Mars,Naval Postgraduate School,NA,N
135,B. R. Hollis,Preliminary Convective-Radiative Heating Environments for a Neptune Aerocapture Mission,2004,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Neptune,Neptune,NASA Langley Research Center,NASA,N
136,G. L. Matloff,Saturn Titan Rendezvous a Solar-Sail Aerocapture Mission,2004,Conference,International Astronautical Congress,AIAA,USA,Titan,Titan,NYC College of Technology,NASA,N
137,R. E. Dyke,Structural Design for a Neptune Aerocapture Mission,2004,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Neptune,Neptune,NASA Langley Research Center,NASA,N
138,M. J. Wright,The Impact of Flowfield-Radiation Coupling on Aeroheating for Titan Aerocapture,2004,Conference,Aerospace Sciences Meeting,AIAA,USA,Titan,Titan,NASA Ames Research Center,NASA,N
139,C. Cazaux,The NASA-CNES Mars sample returnтАФa status report,2004,Journal,Acta Astronautica,Elsevier,USA,Mars,Mars,Centre National d'Etudes Spatiales,NASA,N
140,W. R. Johnson,Titan Ballute Aerocapture Using a Perturbed TitanGRAM Model,2004,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Titan,Titan,Jet Propulsion Lab,NASA,N
141,B. Laub,TPS Challenges for Neptune Aerocapture,2004,Conference,Atmospheric Flight Mechanics Conference,AIAA,USA,Neptune,Neptune,NASA Ames Research Center,NASA,N
